Molecular Formula,rdkit_SMILES,SMILES,chemical name,Molecular Weight
C5H7F,C=C(C)C=CF,C=C(C)(C=CF),"1-fluoro-3-methylbuta-1,3-diene",86.1094
C5H7F,CC1C=C(F)C1,C(C)(C1)(C=C1F),1-fluoro-3-methylcyclobut-1-ene,86.1094
C5H7F,C=C1CC(F)C1,C=C(C1)(CC1F),1-fluoro-3-methylenecyclobutane,86.1094
C5H7F,CC1CC=C1F,C(C)(C1)(C(F)=C1),1-fluoro-4-methylcyclobut-1-ene,86.1094
C5H7F,FC12CCC1C2,FC12CC1CC2,1-fluorobicyclo[2.1.0]pentane,86.1094
C5H7F,FC1=CCCC1,C(CC1)(C=C1F),1-fluorocyclopent-1-ene,86.1094
C5H7F,CCCC#CF,C(C)(CC#CF),1-fluoropent-1-yne,86.1094
C5H7F,CCC#CCF,C(CF)#C(CC),1-fluoropent-2-yne,86.1094
C5H7F,CC=CC=CF,C(C)=C(C=CF),"1-fluoropenta-1,3-diene",86.1094
C5H7F,C=CCC=CF,C(C=C)(C=CF),"1-fluoropenta-1,4-diene",86.1094
C5H7F,FC1CC12CC2,FC1C2(C1)CC2,1-fluorospiro[2.2]pentane,86.1094
C5H7F,C=CC(=C)CF,C=C(CF)(C=C),"2-(fluoromethyl)buta-1,3-diene",86.1094
C5H7F,C=C(C)C(=C)F,C=C(C)(C(F)=C),"2-fluoro-3-methylbuta-1,3-diene",86.1094
C5H7F,FC1CC2CC12,FC1CC2CC21,2-fluorobicyclo[2.1.0]pentane,86.1094
C5H7F,C=C(F)C=CC,C(C)=C(C(F)=C),"2-fluoropenta-1,3-diene",86.1094
C5H7F,C=CCC(=C)F,C(C=C)(C(F)=C),"2-fluoropenta-1,4-diene",86.1094
C5H7F,CC(F)C1C=C1,FC(C)C1C=C1,3-(1-fluoroethyl)cycloprop-1-ene,86.1094
C5H7F,FCCC1C=C1,FCCC1C=C1,3-(2-fluoroethyl)cycloprop-1-ene,86.1094
C5H7F,CC1=CC1CF,CC1=CC1CF,3-(fluoromethyl)-1-methylcycloprop-1-ene,86.1094
C5H7F,CC1(CF)C=C1,CC1(CF)C=C1,3-(fluoromethyl)-3-methylcycloprop-1-ene,86.1094
C5H7F,FCC1C=CC1,C(CF)(C1)(C=C1),3-(fluoromethyl)cyclobut-1-ene,86.1094
C5H7F,CCC1C=C1F,FC1=CC1CC,3-ethyl-1-fluorocycloprop-1-ene,86.1094
C5H7F,CCC1(F)C=C1,FC1(CC)C=C1,3-ethyl-3-fluorocycloprop-1-ene,86.1094
C5H7F,CC1=C(C)C1F,CC(C1F)=C1C,"3-fluoro-1,2-dimethylcycloprop-1-ene",86.1094
C5H7F,CC1=CC1(C)F,CC1=CC1(C)F,"3-fluoro-1,3-dimethylcycloprop-1-ene",86.1094
C5H7F,CC1=CC(F)C1,C(C1F)=C(C)(C1),3-fluoro-1-methylcyclobut-1-ene,86.1094
C5H7F,C#CC(C)(C)F,C(F)(C)(C)(C#C),3-fluoro-3-methylbut-1-yne,86.1094
C5H7F,CC1(F)C=CC1,C(F)(C)(C1)(C=C1),3-fluoro-3-methylcyclobut-1-ene,86.1094
C5H7F,CC1C=CC1F,C(C)(C1F)(C=C1),3-fluoro-4-methylcyclobut-1-ene,86.1094
C5H7F,FC1C=CCC1,C(CC1F)(C=C1),3-fluorocyclopent-1-ene,86.1094
C5H7F,C#CC(F)CC,C(C)(C(F)C#C),3-fluoropent-1-yne,86.1094
C5H7F,C=CC(F)=CC,C(C)=C(F)(C=C),"3-fluoropenta-1,3-diene",86.1094
C5H7F,C=CC(F)C=C,C(F)(C=C)(C=C),"3-fluoropenta-1,4-diene",86.1094
C5H7F,CC1=CCC1F,C(C1)=C(C)(C1F),4-fluoro-1-methylcyclobut-1-ene,86.1094
C5H7F,C#CC(C)CF,C(C)(CF)(C#C),4-fluoro-3-methylbut-1-yne,86.1094
C5H7F,FC1CC=CC1,C(C(F)C1)(C=C1),4-fluorocyclopent-1-ene,86.1094
C5H7F,C#CCC(C)F,C(F)(C)(CC#C),4-fluoropent-1-yne,86.1094
C5H7F,CC#CC(C)F,C(C)#C(C(F)C),4-fluoropent-2-yne,86.1094
C5H7F,C=CC=C(C)F,C(F)(C)=C(C=C),"4-fluoropenta-1,3-diene",86.1094
C5H7F,FC1C2CCC12,FC1C2C1CC2,5-fluorobicyclo[2.1.0]pentane,86.1094
C5H7F,C#CCCCF,C(CF)(CC#C),5-fluoropent-1-yne,86.1094
C5H7F,CC#CCCF,C(C)#C(CCF),5-fluoropent-2-yne,86.1094
C5H7F,C=CC=CCF,C(CF)=C(C=C),"5-fluoropenta-1,3-diene",86.1094
C2H2N2S,c1csnn1,C1=CSN=N1,"1,2,3-thiadiazole",86.112
C2H2N2S,c1ncsn1,N1=CSN=C1,"1,2,4-thiadiazole",86.112
C2H2N2S,c1cnsn1,N1=CC=NS1,"1,2,5-thiadiazole",86.112
C2H2N2S,c1nncs1,C1=NN=CS1,"1,3,4-thiadiazole",86.112
C2H2N2S,N#CC(N)=S,S=C(C#N)N,carbamothioyl cyanide,86.112
C5H10O,CC1(CO)CC1,OCC1(CC1)C,(1-methylcyclopropyl)methanol,86.134
C5H10O,CC1CC1CO,OCC1C(C)C1,(2-methylcyclopropyl)methanol,86.134
C5H10O,COCC1CC1,COCC1CC1,(methoxymethyl)cyclopropane,86.134
C5H10O,C=COCCC,CCCOC=C,1-(vinyloxy)propane,86.134
C5H10O,CC1CC1(C)O,OC1(C)C(C)C1,"1,2-dimethylcyclopropan-1-ol",86.134
C5H10O,CC(O)C1CC1,OC(C1CC1)C,1-cyclopropylethan-1-ol,86.134
C5H10O,CC=COCC,CCOC=CC,1-ethoxyprop-1-ene,86.134
C5H10O,CCC1(O)CC1,OC1(CC)CC1,1-ethylcyclopropan-1-ol,86.134
C5H10O,COC1(C)CC1,COC1(CC1)C,1-methoxy-1-methylcyclopropane,86.134
C5H10O,COC=C(C)C,COC=C(C)C,1-methoxy-2-methylprop-1-ene,86.134
C5H10O,CCC=COC,COC=CCC,1-methoxybut-1-ene,86.134
C5H10O,CC1(O)CCC1,OC1(CCC1)C,1-methylcyclobutan-1-ol,86.134
C5H10O,C=COC(C)C,CC(OC=C)C,2-(vinyloxy)propane,86.134
C5H10O,CC1OC1(C)C,CC1C(C)(C)O1,"2,2,3-trimethyloxirane",86.134
C5H10O,CC1(C)CCO1,CC1(C)OCC1,"2,2-dimethyloxetane",86.134
C5H10O,CC1COC1C,CC1OCC1C,"2,3-dimethyloxetane",86.134
C5H10O,CC1CC(C)O1,CC1CC(C)O1,"2,4-dimethyloxetane",86.134
C5H10O,OCCC1CC1,OCCC1CC1,2-cyclopropylethan-1-ol,86.134
C5H10O,C=C(C)OCC,CCOC(C)=C,2-ethoxyprop-1-ene,86.134
C5H10O,CCC1(C)CO1,CC1(CC)CO1,2-ethyl-2-methyloxirane,86.134
C5H10O,CCC1OC1C,CC1C(CC)O1,2-ethyl-3-methyloxirane,86.134
C5H10O,CCC1CCO1,CCC1OCC1,2-ethyloxetane,86.134
C5H10O,CC(C)C1CO1,CC(C)C1OC1,2-isopropyloxirane,86.134
C5H10O,C=C(CC)OC,COC(CC)=C,2-methoxybut-1-ene,86.134
C5H10O,CC=C(C)OC,COC(C)=CC,2-methoxybut-2-ene,86.134
C5H10O,C=CC(C)CO,OCC(C=C)C,2-methylbut-3-en-1-ol,86.134
C5H10O,C=CC(C)(C)O,OC(C)(C=C)C,2-methylbut-3-en-2-ol,86.134
C5H10O,CCC(C)C=O,O=CC(CC)C,2-methylbutanal,86.134
C5H10O,CC1CCC1O,OC1CCC1C,2-methylcyclobutan-1-ol,86.134
C5H10O,CC1CCCO1,CC1OCCC1,2-methyltetrahydrofuran,86.134
C5H10O,CCCC1CO1,CCCC1CO1,2-propyloxirane,86.134
C5H10O,CC1(C)COC1,CC1(C)COC1,"3,3-dimethyloxetane",86.134
C5H10O,C=CCOCC,CCOCC=C,3-ethoxyprop-1-ene,86.134
C5H10O,CCC1COC1,CCC1COC1,3-ethyloxetane,86.134
C5H10O,C=C(C)COC,C=C(C)COC,3-methoxy-2-methylprop-1-ene,86.134
C5H10O,C=CC(C)OC,COC(C=C)C,3-methoxybut-1-ene,86.134
C5H10O,CC(C)=CCO,C/C(C)=C\CO,3-methylbut-2-en-1-ol,86.134
C5H10O,C=C(C)CCO,C=C(C)CCO,3-methylbut-3-en-1-ol,86.134
C5H10O,C=C(C)C(C)O,CC(O)C(C)=C,3-methylbut-3-en-2-ol,86.134
C5H10O,CC(=O)C(C)C,CC(C(C)C)=O,3-methylbutan-2-one,86.134
C5H10O,CC(C)CC=O,O=CCC(C)C,3-methylbutanal,86.134
C5H10O,CC1CC(O)C1,OC1CC(C)C1,3-methylcyclobutan-1-ol,86.134
C5H10O,CC1CCOC1,CC1COCC1,3-methyltetrahydrofuran,86.134
C5H10O,C=CCCOC,COCCC=C,4-methoxybut-1-ene,86.134
C5H10O,OCC1CCC1,OCC1CCC1,cyclobutylmethanol,86.134
C5H10O,OC1CCCC1,OC1CCCC1,cyclopentanol,86.134
C5H10O,CCOC1CC1,CCOC1CC1,ethoxycyclopropane,86.134
C5H10O,COC1CCC1,COC1CCC1,methoxycyclobutane,86.134
C5H10O,C=CC(O)CC,OC(C=C)CC,pent-1-en-3-ol,86.134
C5H10O,CCC=CCO,CC/C=C\CO,pent-2-en-1-ol,86.134
C5H10O,CC=CCCO,OCC/C=C\C,pent-3-en-1-ol,86.134
C5H10O,CC=CC(C)O,CC(O)/C=C/C,pent-3-en-2-ol,86.134
C5H10O,C=CCCCO,OCCCC=C,pent-4-en-1-ol,86.134
C5H10O,C=CCC(C)O,OC(CC=C)C,pent-4-en-2-ol,86.134
C5H10O,CCCC(C)=O,CC(CCC)=O,pentan-2-one,86.134
C5H10O,CCC(=O)CC,CCC(CC)=O,pentan-3-one,86.134
C5H10O,CCCCC=O,O=CCCCC,pentanal,86.134
C5H10O,CC(C)(C)C=O,O=CC(C)(C)C,pivalaldehyde,86.134
C5H10O,C1CCOCC1,C1CCCCO1,tetrahydro-2H-pyran,86.134
C4H10N2,CC1(NN)CC1,NNC1(CC1)C,(1-methylcyclopropyl)hydrazine,86.138
C4H10N2,C=C(C)CNN,NNCC(C)=C,(2-methylallyl)hydrazine,86.138
C4H10N2,NNCC1CC1,NNCC1CC1,(cyclopropylmethyl)hydrazine,86.138
C4H10N2,NCC1(N)CC1,NC1(CN)CC1,1-(aminomethyl)cyclopropan-1-amine,86.138
C4H10N2,C=CCN(C)N,CN(N)CC=C,1-allyl-1-methylhydrazine,86.138
C4H10N2,C=CCNNC,CNNCC=C,1-allyl-2-methylhydrazine,86.138
C4H10N2,CN(N)C1CC1,CN(N)C1CC1,1-cyclopropyl-1-methylhydrazine,86.138
C4H10N2,CNNC1CC1,CNNC1CC1,1-cyclopropyl-2-methylhydrazine,86.138
C4H10N2,CN1CC(N)C1,NC1CN(C)C1,1-methylazetidin-3-amine,86.138
C4H10N2,NCCN1CC1,NCCN1CC1,2-(aziridin-1-yl)ethan-1-amine,86.138
C4H10N2,CC(C)=C(N)N,NC(N)=C(C)C,"2-methylprop-1-ene-1,1-diamine",86.138
C4H10N2,CC1(N)CNC1,NC1(C)CNC1,3-methylazetidin-3-amine,86.138
C4H10N2,NCC1CCN1,NCC1NCC1,azetidin-2-ylmethanamine,86.138
C4H10N2,NCC1CNC1,NCC1CNC1,azetidin-3-ylmethanamine,86.138
C4H10N2,CCC=C(N)N,NC(N)=CCC,"but-1-ene-1,1-diamine",86.138
C4H10N2,C=CCCNN,NNCCC=C,but-3-en-1-ylhydrazine,86.138
C4H10N2,C=CC(C)NN,NNC(C=C)C,but-3-en-2-ylhydrazine,86.138
C4H10N2,NC1CC(N)C1,NC1CC(N)C1,"cyclobutane-1,3-diamine",86.138
C4H10N2,NNC1CCC1,NNC1CCC1,cyclobutylhydrazine,86.138
C4H10N2,C1CCNNC1,C(C1)NNC(C1),hexahydropyridazine,86.138
C4H10N2,CN(C)C=CN,CN(/C=C/N)C,"N1,N1-dimethylethene-1,2-diamine",86.138
C4H10N2,CNC1CNC1,CNC1CNC1,N-methylazetidin-3-amine,86.138
C4H10N2,C1CNCCN1,N1CCNCC1,piperazine,86.138
C4H10N2,NN1CCCC1,NN1CCCC1,pyrrolidin-1-amine,86.138
C4H10N2,NC1CCNC1,[H][C@@]1(N)CNCC1,pyrrolidin-3-amine,86.138
C4H6S,C1CC12CS2,C1C2(CC2)S1,1-thiaspiro[2.2]pentane,86.152
C4H6S,C1=CSCC1,S1\C=C/CC1,"2,3-dihydrothiophene",86.152
C4H6S,CC1=C(C)S1,CC(S1)=C1C,"2,3-dimethylthiirene",86.152
C4H6S,C1=CCSC1,S1C/C=C\C1,"2,5-dihydrothiophene",86.152
C4H6S,CCC1=CS1,CCC1=CS1,2-ethylthiirene,86.152
C4H6S,C=CC1CS1,C=CC1CS1,2-vinylthiirane,86.152
C4H6S,C1CC2SC12,C1(CC2)C2S1,5-thiabicyclo[2.1.0]pentane,86.152
C4H6S,CC=CC=S,S=C\C=C/C,but-2-enethial,86.152
C4H6S,CC#CCS,CC#CCS,but-2-yne-1-thiol,86.152
C4H6S,C#CCCS,SCCC#C,but-3-yne-1-thiol,86.152
C4H6S,C#CC(C)S,SC(C#C)C,but-3-yne-2-thiol,86.152
C4H6S,C=CC=CS,S/C=C\C=C,"buta-1,3-diene-1-thiol",86.152
C4H6S,SC1C=CC1,SC1CC=C1,cyclobut-2-ene-1-thiol,86.152
C4H6S,C=CSC=C,C=CSC=C,divinylsulfane,86.152
C4H6S,C#CSCC,C#CSCC,ethyl(ethynyl)sulfane,86.152
C4H6S,CC#CSC,CC#CSC,methyl(prop-1-yn-1-yl)sulfane,86.152
C4H6S,C#CCSC,CSCC#C,methyl(prop-2-yn-1-yl)sulfane,86.152
C4H6S,C=C=CSC,C(=C)=CSC,"methyl(propa-1,2-dien-1-yl)sulfane",86.152
C6H14,CCC(C)(C)C,CC(C)(CC)C,"2,2-dimethylbutane",86.178
C6H14,CC(C)C(C)C,CC(C(C)C)C,"2,3-dimethylbutane",86.178
C6H14,CCCC(C)C,CC(CCC)C,2-methylpentane,86.178
C6H14,CCC(C)CC,CC(CC)CC,3-methylpentane,86.178
C6H14,CCCCCC,CCCCCC,hexane,86.178
C4H10Si,C[Si]1(C)CC1,C[Si]1(CC1)C,"1,1-dimethylsilirane",86.209
CHClF2,FC(F)Cl,C(Cl)(F)(F),chlorodifluoromethane,86.4658
C4H3Cl,C#CC=CCl,ClC=CC#C,1-chlorobut-1-en-3-yne,86.518
C4H3Cl,C#CC(=C)Cl,C=C(C#C)Cl,2-chlorobut-1-en-3-yne,86.518
C4H3Cl,C=CC#CCl,C=CC#CCl,4-chlorobut-1-en-3-yne,86.518
C2HNO3,O=C=C[N+](=O)[O-],C(=C=O)[N+](=O)[O-],2-nitroethen-1-one,87.034
CHN3O2,[N-]=[N+]=NC(=O)O,[N-]=[N+]=NC(=O)O,carbonazidic acid,87.038
CHN3O2,N#CN[N+](=O)[O-],C(#N)N[N+](=O)[O-],N-nitrocyanamide,87.038
C3H5NO2,CC(=O)CN=O,O=NCC(C)=O,1-nitrosopropan-2-one,87.078
C3H5NO2,C=C(N)C(=O)O,C=C(N)C(O)=O,2-aminoacrylic acid,87.078
C3H5NO2,O=C1NCC1O,O=C1NCC1O,3-hydroxyazetidin-2-one,87.078
C3H5NO2,O=NC1COC1,O=NC1COC1,3-nitrosooxetane,87.078
C3H5NO2,O=C(O)C1CN1,[H][C@]1(C(O)=O)NC1,aziridine-2-carboxylic acid,87.078
C3H5NO2,COCN=C=O,O=C=NCOC,isocyanato(methoxy)methane,87.078
C3H5NO2,O=C1CCON1,O=C1NOCC1,isoxazolidin-3-one,87.078
C3H5NO2,O=C1NCCO1,O=C1NCCO1,oxazolidin-2-one,87.078
C3H5NO2,NC(=O)C1CO1,NC(C1OC1)=O,oxirane-2-carboxamide,87.078
C2H5N3O,[N-]=[N+]=NCCO,[N-]=[N+]=NCCO,2-azidoethan-1-ol,87.082
C2H5N3O,N=C(N)NC=O,N=C(N)NC=O,N-carbamimidoylformamide,87.082
CH5N5,NC1N=NNN1,N\1=N\NNC/1N,"2,5-dihydro-1H-tetrazol-5-amine",87.086
C4H6FN,FC12CCC1N2,FC12C(N2)CC1,1-fluoro-5-azabicyclo[2.1.0]pentane,87.0974
C4H6FN,C#CCC(N)F,NC(F)(CC#C),1-fluorobut-3-yn-1-amine,87.0974
C4H6FN,C#CC(N)CF,NC(CF)(C#C),1-fluorobut-3-yn-2-amine,87.0974
C4H6FN,NC1(F)C=CC1,NC(F)(C1)(C=C1),1-fluorocyclobut-2-en-1-amine,87.0974
C4H6FN,C#CC(F)NC,CNC(F)(C#C),1-fluoro-N-methylprop-2-yn-1-amine,87.0974
C4H6FN,CC(F)C1=CN1,FC(C)C1=CN1,2-(1-fluoroethyl)-1H-azirine,87.0974
C4H6FN,C=C(F)C1CN1,FC(C1CN1)=C,2-(1-fluorovinyl)aziridine,87.0974
C4H6FN,FCCC1=CN1,FCCC1=CN1,2-(2-fluoroethyl)-1H-azirine,87.0974
C4H6FN,FC=CC1CN1,FC=CC1CN1,2-(2-fluorovinyl)aziridine,87.0974
C4H6FN,CC1=C(CF)N1,CC(N1)=C1CF,2-(fluoromethyl)-3-methyl-1H-azirine,87.0974
C4H6FN,CCC1=C(F)N1,FC(N1)=C1CC,2-ethyl-3-fluoro-1H-azirine,87.0974
C4H6FN,FC1NC12CC2,FC1C2(CC2)N1,2-fluoro-1-azaspiro[2.2]pentane,87.0974
C4H6FN,C=CC1(F)CN1,FC1(C=C)CN1,2-fluoro-2-vinylaziridine,87.0974
C4H6FN,C=CC1NC1F,FC1C(C=C)N1,2-fluoro-3-vinylaziridine,87.0974
C4H6FN,FC1CC2NC12,FC1CC2C1N2,2-fluoro-5-azabicyclo[2.1.0]pentane,87.0974
C4H6FN,C#CC(F)CN,NC(C(F)C#C),2-fluorobut-3-yn-1-amine,87.0974
C4H6FN,C#CC(C)(N)F,NC(F)(C)(C#C),2-fluorobut-3-yn-2-amine,87.0974
C4H6FN,NC1CC=C1F,NC(C1)(C(F)=C1),2-fluorocyclobut-2-en-1-amine,87.0974
C4H6FN,NC1C=C(F)C1,NC(C1)(C=C1F),3-fluorocyclobut-2-en-1-amine,87.0974
C4H6FN,CNCC#CF,CNC(C#CF),3-fluoro-N-methylprop-2-yn-1-amine,87.0974
C4H6FN,FC1CC12CN2,FC1C2(C1)CN2,4-fluoro-1-azaspiro[2.2]pentane,87.0974
C4H6FN,NCCC#CF,NC(CC#CF),4-fluorobut-3-yn-1-amine,87.0974
C4H6FN,CC(N)C#CF,NC(C)(C#CF),4-fluorobut-3-yn-2-amine,87.0974
C4H6FN,NC1C=CC1F,NC(C1F)(C=C1),4-fluorocyclobut-2-en-1-amine,87.0974
C4H6FN,C#CCNCF,C(F)NC(C#C),N-(fluoromethyl)prop-2-yn-1-amine,87.0974
C4H9NO,NC1(CO)CC1,NC(C1)(C1)C(O),(1-aminocyclopropyl)methanol,87.122
C4H9NO,NC1CC1CO,NC1C(CO)C1,(2-aminocyclopropyl)methanol,87.122
C4H9NO,C=CCOCN,NCOCC=C,(allyloxy)methanamine,87.122
C4H9NO,NCC1(O)CC1,NCC1(CC1)O,1-(aminomethyl)cyclopropan-1-ol,87.122
C4H9NO,CNCC(C)=O,O=C(C)CNC,1-(methylamino)propan-2-one,87.122
C4H9NO,C1CCONC1,N1CCCCO1,"1,2-oxazinane",87.122
C4H9NO,C=CC(O)CN,NCC(C=C)O,1-aminobut-3-en-2-ol,87.122
C4H9NO,CCC(=O)CN,NCC(CC)=O,1-aminobutan-2-one,87.122
C4H9NO,CCON1CC1,CCON1CC1,1-ethoxyaziridine,87.122
C4H9NO,C=C(N)OCC,NC(OCC)=C,1-ethoxyethen-1-amine,87.122
C4H9NO,CON1CCC1,CON1CCC1,1-methoxyazetidine,87.122
C4H9NO,COC1(N)CC1,NC1(OC)CC1,1-methoxycyclopropan-1-amine,87.122
C4H9NO,CC=C(N)OC,NC(OC)=CC,1-methoxyprop-1-en-1-amine,87.122
C4H9NO,C=CC(N)OC,NC(OC)C=C,1-methoxyprop-2-en-1-amine,87.122
C4H9NO,CN1CC(O)C1,OC1CN(C)C1,1-methylazetidin-3-ol,87.122
C4H9NO,CCCCN=O,O=NCCCC,1-nitrosobutane,87.122
C4H9NO,OCCN1CC1,OCCN1CC1,2-(aziridin-1-yl)ethan-1-ol,87.122
C4H9NO,C=COCCN,NCCOC=C,2-(vinyloxy)ethan-1-amine,87.122
C4H9NO,C=CC(N)CO,NC(CO)C=C,2-aminobut-3-en-1-ol,87.122
C4H9NO,NC1CCC1O,NC(C1)C(O)(C1),2-aminocyclobutan-1-ol,87.122
C4H9NO,CCN1CCO1,CCN1CCO1,"2-ethyl-1,2-oxazetidine",87.122
C4H9NO,COC1CC1N,NC1C(OC)C1,2-methoxycyclopropan-1-amine,87.122
C4H9NO,CC(C)CN=O,O=NCC(C)C,2-methyl-1-nitrosopropane,87.122
C4H9NO,CN1CCCO1,CN1CCCO1,2-methylisoxazolidine,87.122
C4H9NO,CCC(C)N=O,O=NC(C)CC,2-nitrosobutane,87.122
C4H9NO,CC(=O)C(C)N,NC(C(C)=O)C,3-aminobutan-2-one,87.122
C4H9NO,NC1CC(O)C1,N[C@](C[C@]1(O)[H])(C1)[H],3-aminocyclobutan-1-ol,87.122
C4H9NO,COC1CNC1,COC1CNC1,3-methoxyazetidine,87.122
C4H9NO,CC1(O)CNC1,OC1(C)CNC1,3-methylazetidin-3-ol,87.122
C4H9NO,CC1(N)COC1,NC1(C)COC1,3-methyloxetan-3-amine,87.122
C4H9NO,NCCCC=O,O=CCCCN,4-aminobutanal,87.122
C4H9NO,OCC1CCN1,[H][C@]1(CO)NCC1,azetidin-2-ylmethanol,87.122
C4H9NO,OCC1CNC1,OCC1CNC1,azetidin-3-ylmethanol,87.122
C4H9NO,CCC(C)=NO,C/C(CC)=N\O,butan-2-one oxime,87.122
C4H9NO,CCCC(N)=O,CCCC(N)=O,butyramide,87.122
C4H9NO,NCOC1CC1,NCOC1CC1,cyclopropoxymethanamine,87.122
C4H9NO,CC(C)C(N)=O,CC(C(N)=O)C,isobutyramide,87.122
C4H9NO,C1COCCN1,N1CCOCC1,morpholine,87.122
C4H9NO,CC(=O)N(C)C,CC(N(C)C)=O,"N,N-dimethylacetamide",87.122
C4H9NO,C=CON(C)C,CN(OC=C)C,"N,N-dimethyl-O-vinylhydroxylamine",87.122
C4H9NO,C=CN(C)OC,CN(OC)C=C,"N,O-dimethyl-N-vinylhydroxylamine",87.122
C4H9NO,C=CCN(C)O,CN(O)CC=C,N-allyl-N-methylhydroxylamine,87.122
C4H9NO,C=CCNOC,C=CCNOC,N-allyl-O-methylhydroxylamine,87.122
C4H9NO,CCNC(C)=O,CC(NCC)=O,N-ethylacetamide,87.122
C4H9NO,CCN(C)C=O,CCN(C=O)C,N-ethyl-N-methylformamide,87.122
C4H9NO,C=CN(O)CC,CCN(O)C=C,N-ethyl-N-vinylhydroxylamine,87.122
C4H9NO,C=CONCC,CCNOC=C,N-ethyl-O-vinylhydroxylamine,87.122
C4H9NO,CC(C)NC=O,CC(C)NC=O,N-isopropylformamide,87.122
C4H9NO,CNC1COC1,CNC1COC1,N-methyloxetan-3-amine,87.122
C4H9NO,CCC(=O)NC,CCC(NC)=O,N-methylpropionamide,87.122
C4H9NO,CCCNC=O,CCCNC=O,N-propylformamide,87.122
C4H9NO,C=CCCON,NOCCC=C,O-(but-3-en-1-yl)hydroxylamine,87.122
C4H9NO,NOCC1CC1,NOCC1CC1,O-(cyclopropylmethyl)hydroxylamine,87.122
C4H9NO,C=CCONC,CNOCC=C,O-allyl-N-methylhydroxylamine,87.122
C4H9NO,C=CNOCC,C=CNOCC,O-ethyl-N-vinylhydroxylamine,87.122
C4H9NO,NCC1CCO1,NCC1OCC1,oxetan-2-ylmethanamine,87.122
C4H9NO,NCC1COC1,NCC1COC1,oxetan-3-ylmethanamine,87.122
C4H9NO,ON1CCCC1,ON1CCCC1,pyrrolidin-1-ol,87.122
C4H9NO,OC1CCNC1,[H][C@@]1(O)CNCC1,pyrrolidin-3-ol,87.122
C4H9NO,NC1CCCO1,NC1CCCO1,tetrahydrofuran-2-amine,87.122
C4H9NO,NC1CCOC1,N[C@]1(COCC1)[H],tetrahydrofuran-3-amine,87.122
C3H9N3,C=C(N)NNC,C=C(N)NNC,1-(2-methylhydrazineyl)ethen-1-amine,87.126
C3H9N3,CN(C)C(=N)N,CN(C(N)=N)C,"1,1-dimethylguanidine",87.126
C3H9N3,CNC(=N)NC,CNC(NC)=N,"1,3-dimethylguanidine",87.126
C3H9N3,CCNC(=N)N,CCNC(N)=N,1-ethylguanidine,87.126
C3H9N3,NCC=C(N)N,NCC=C(N)N,"prop-1-ene-1,1,3-triamine",87.126
C3H5NS,CN=CC=S,CN=CC=S,2-(methylimino)ethanethial,87.14
C3H5NS,CSCC#N,N#CCSC,2-(methylthio)acetonitrile,87.14
C3H5NS,N#CCCS,SCCC#N,3-mercaptopropanenitrile,87.14
C3H5NS,C1=NCCS1,S1CCN=C1,"4,5-dihydrothiazole",87.14
C3H5NS,CCN=C=S,CCN=C=S,isothiocyanatoethane,87.14
C3H5NS,CCSC#N,CCSC#N,thiocyanatoethane,87.14
C5H13N,CC(C)(C)CN,NCC(C)(C)C,"2,2-dimethylpropan-1-amine",87.166
C5H13N,CCC(C)CN,NCC(CC)C,2-methylbutan-1-amine,87.166
C5H13N,CCC(C)(C)N,NC(C)(CC)C,2-methylbutan-2-amine,87.166
C5H13N,CC(C)CCN,NCCC(C)C,3-methylbutan-1-amine,87.166
C5H13N,CC(C)C(C)N,NC(C(C)C)C,3-methylbutan-2-amine,87.166
C5H13N,CNCC(C)C,CNCC(C)C,"N,2-dimethylpropan-1-amine",87.166
C5H13N,CNC(C)(C)C,CNC(C)(C)C,"N,2-dimethylpropan-2-amine",87.166
C5H13N,CCCN(C)C,CN(CCC)C,"N,N-dimethylpropan-1-amine",87.166
C5H13N,CC(C)N(C)C,CN(C(C)C)C,"N,N-dimethylpropan-2-amine",87.166
C5H13N,CCN(C)CC,CN(CC)CC,N-ethyl-N-methylethanamine,87.166
C5H13N,CCCNCC,CCNCCC,N-ethylpropan-1-amine,87.166
C5H13N,CCNC(C)C,CCNC(C)C,N-ethylpropan-2-amine,87.166
C5H13N,CCCCNC,CNCCCC,N-methylbutan-1-amine,87.166
C5H13N,CCC(C)NC,CNC(CC)C,N-methylbutan-2-amine,87.166
C5H13N,CCCCCN,NCCCCC,pentan-1-amine,87.166
C5H13N,CCCC(C)N,NC(CCC)C,pentan-2-amine,87.166
C5H13N,CCC(N)CC,NC(CC)CC,pentan-3-amine,87.166
C2H5BO3,OB1OCCO1,OB1OCCO1,"1,3,2-dioxaborolan-2-ol",87.869
C3H9BO2,COB(C)OC,O(B(OC)C)C,dimethyl methylboronate,87.913
C4H10BF,CCB(F)CC,CCB(F)CC,diethylfluoroborane,87.9324
C3H9BS,CSB(C)C,S(B(C)C)C,dimethyl(methylthio)borane,87.975
CF4,FC(F)(F)F,C(F)(F)(F)(F),perfluoromethane,88.0046
CN2O3,O=NC(=O)N=O,C(=O)(N=O)N=O,dinitrosomethanone,88.022
C3HFO2,O=C(O)C#CF,OC(=O)C#C(F),3-fluoropropiolic acid,88.0374
C3H5OP,O=[PH]1C=CC1,O=P1C=CC1,2H-phosphete 1-oxide,88.0458
C3H5OP,C=CCP=O,O=PCC=C,allyl(oxo)phosphane,88.0458
C3H5OP,C#CPOC,C#CPOC,ethynyl(methoxy)phosphane,88.0458
